title,ranking,year,duration,genre,rating,directors,votes
 Bugs,"4,141.",(1995–1999),Desconhecido,"Action, Crime, Sci-Fi",7.8549999999999995,,541.0
 Bureau Kruislaan,"4,182.",(1992–1995),25 min,"Action, Drama",,,0.0
 Burke's Law,"4,183.",(1963–1966),60 min,"Action, Adventure, Crime",7.592499999999999,,3024.0
 Buzz Lightyear of Star Command,"4,284.",(2000–2001),Desconhecido,"Animation, Action, Adventure",7.241071428571429,"Don MacKinnon,Chris Rutkowski,Lior Ashkenazi,Diedrich Bader,Jeff Bennett,Jim Cummings",1434.0
 C-16: FBI,"4,321.",(1997–1998),Desconhecido,"Action, Crime, Drama",7.938461538461538,,222.0
 CBS Summer Playhouse,214.,(1987–1989),60 min,"Action, Adventure, Comedy",5.766666666666667,,229.0
 CI5: The New Professionals,"4,338.",(1998–1999),48 min,"Action, Adventure, Crime",6.423076923076923,,198.0
 CSI: Miami,"4,437.",(2002–2012),45 min,"Action, Crime, Drama",7.09418604651163,"Karen Gaviola,Eagle Egilsson,David Caruso,Emily Procter,Adam Rodriguez,Khandi Alexander",35950.0
 CSI: NY,"4,439.",(2004–2013),42 min,"Action, Crime, Drama",7.183783783783784,"DeLucci Daniel,Nelson McCormick,Gary Sinise,Melina Kanakaredes,Carmine Giovinazzo,Vanessa Ferlito, John Peters,John Peters,Gary Sinise,Melina Kanakaredes,Carmine Giovinazzo,Anna Belknap",12323.0
 Caccia al ladro d'autore,"4,476.",(1985– ),Desconhecido,,,,0.0
 Cade's County,"4,484.",(1971–1972),60 min,"Action, Crime, Drama",7.691304347826088,,362.0
 Call Red,"4,508.",(1996– ),Desconhecido,,,,0.0
 Cannon,"4,539.",(1971–1976),60 min,"Action, Crime, Drama",7.785593220338981,,9961.0
 Captain Power and the Soldiers of the Future,"4,649.",(1987–1988),22 min,"Action, Sci-Fi",7.731818181818183,,465.0
 Captain Simian &amp; The Space Monkeys,"4,677.",(1996–1997),Desconhecido,,8.1,,10.0
 Captain Video and His Video Rangers,"4,678.",(1949–1955),Desconhecido,,,,0.0
 Cardcaptor Sakura,"4,681.",(1998–2000),26 min,"Animation, Action, Adventure",7.3,"Morio Asaka,Hitoyuki Matsui,Junko Iwao,Aya Hisakawa,Tomokazu Seki,Megumi Ogata",52.0
